metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_receiving,1786861853,0.093000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_failed,1786861853,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
checks,1786861853,1.000000,cart: status 200,,,,,,,,default,,,,,,,
http_reqs,1786861853,1.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_duration,1786861853,4.747000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_blocked,1786861853,0.276000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_connecting,1786861853,0.236000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_tls_handshaking,1786861853,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_sending,1786861853,0.029000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_waiting,1786861853,4.675000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_receiving,1786861853,0.043000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_failed,1786861853,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
checks,1786861853,1.000000,login: status 200,,,,,,,,default,,,,,,,
checks,1786861853,1.000000,login: token present,,,,,,,,default,,,,,,,
http_reqs,1786861853,1.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_duration,1786861853,14.469000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_blocked,1786861853,0.006000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_connecting,1786861853,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_tls_handshaking,1786861853,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_sending,1786861853,0.027000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_waiting,1786861853,14.366000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_receiving,1786861853,0.076000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
http_req_failed,1786861853,0.000000,,,,true,,POST,checkout,HTTP/1.1,default,,200,,,checkout,,
checks,1786861853,1.000000,checkout: status 200,,,,,,,,default,,,,,,,
